,0,1,2,3,4,5,6,7,8,label
0,18.8,14.04,0.175,0.25,0.006,7.8,1.25,60.0,25.0,0.08637186940952049
1,18.8,14.04,0.175,0.25,0.006,7.8,2.5,60.0,25.0,0.040937916481985095
2,18.8,14.04,0.175,0.25,0.006,7.8,5.0,60.0,25.0,0.04827908519340555
3,18.8,14.04,0.175,0.25,0.006,7.8,10.0,60.0,25.0,0.014899902171038749
4,18.8,14.04,0.175,0.25,0.0007,3.5,0.25,60.0,25.0,0.01883424585255875
5,18.8,14.04,0.175,0.25,0.0007,3.5,0.5,60.0,25.0,0.030368143452159085
6,18.8,14.04,0.175,0.25,0.0007,3.5,0.75,60.0,25.0,0.03129716179982134
7,18.8,14.04,0.175,0.25,0.0007,3.5,1.0,60.0,25.0,0.028292436179865346
8,18.8,14.04,0.175,0.25,0.0007,3.5,1.25,60.0,25.0,0.028217584993129055
9,18.8,14.04,0.175,0.25,0.0007,3.5,1.5,60.0,25.0,0.03497426281691461
10,18.8,14.04,0.175,0.25,0.0007,3.5,1.75,60.0,25.0,0.03135615435810532
11,18.8,14.04,0.175,0.25,0.0007,3.5,2.0,60.0,25.0,0.029296186009323096
12,18.8,14.04,0.175,0.25,0.0007,3.5,3.0,60.0,25.0,0.02561356753722375
13,35.0,15.0,0.212,0.5,0.0007,3.5,0.5,60.0,25.0,0.039651509400268174
14,35.0,15.0,0.212,0.5,0.0007,3.5,1.0,60.0,25.0,0.03699068355351263
15,35.0,15.0,0.212,0.5,0.0007,3.5,2.0,60.0,25.0,0.04739196681802644
16,35.0,15.0,0.212,0.5,0.0007,3.5,3.0,60.0,25.0,0.0388324233608586
17,35.0,15.0,0.212,0.5,0.0007,3.5,5.0,60.0,25.0,0.04565597808262177
18,31.63,13.8,0.12,0.5,0.0007,3.5,0.5,60.0,25.0,0.052197511388641274
19,31.63,13.8,0.12,0.5,0.0007,3.5,0.75,60.0,25.0,0.042828943175527115
20,31.63,13.8,0.12,0.5,0.0007,3.5,1.0,60.0,25.0,0.0523078458543528
21,31.63,13.8,0.12,0.5,0.0007,3.5,5.0,60.0,25.0,0.04064840360710942
22,31.63,13.8,0.12,0.5,0.006,14.0,0.25,60.0,25.0,0.09166067360688974
23,31.63,13.8,0.12,0.5,0.006,14.0,0.5,60.0,25.0,0.09691728065181641
24,31.63,13.8,0.12,0.5,0.006,14.0,1.0,60.0,25.0,0.07025668326350455
25,31.63,13.8,0.12,0.5,0.006,14.0,5.0,60.0,25.0,0.030164471489801056
26,39.16,6.34,0.42,0.5,0.006,14.0,0.5,60.0,25.0,0.12240783638713336
27,39.16,6.34,0.42,0.5,0.006,14.0,5.0,60.0,25.0,0.17211522736299675
28,36.27,6.52,0.12,0.5,0.0007,3.5,3.0,10.0,0.0,0.07096736485488149
29,36.27,6.52,0.12,0.5,0.0007,3.5,3.0,10.0,25.0,0.05945566629449056
30,36.27,6.52,0.12,0.5,0.0007,3.5,3.0,10.0,50.0,0.059757815043931344
31,36.27,6.52,0.12,0.5,0.0007,3.5,3.0,60.0,0.0,0.06073415895542264
32,36.27,6.52,0.12,0.5,0.0007,3.5,3.0,60.0,25.0,0.05050357809551086
33,36.27,6.52,0.12,0.5,0.0007,3.5,3.0,60.0,50.0,0.0371591204925987
34,36.27,6.52,0.12,0.5,0.0007,3.5,3.0,180.0,25.0,0.03396130654934971
35,36.27,6.52,0.12,0.5,0.0007,3.5,10.0,10.0,0.0,0.08411312880941776
36,36.27,6.52,0.12,0.5,0.0007,3.5,10.0,10.0,25.0,0.01717416118308046
37,36.27,6.52,0.12,0.5,0.0007,3.5,10.0,10.0,50.0,0.07989831393725723
38,36.27,6.52,0.12,0.5,0.0007,3.5,10.0,60.0,0.0,0.09879621017299212
39,36.27,6.52,0.12,0.5,0.0007,3.5,10.0,60.0,25.0,0.0773278985969861
40,36.27,6.52,0.12,0.5,0.0007,3.5,10.0,60.0,50.0,0.10157248561868067
41,36.27,6.52,0.12,0.5,0.0007,3.5,10.0,180.0,25.0,0.07270174319092729
42,45.77,7.29,0.26,0.5,0.0007,3.5,1.0,10.0,0.0,0.00681497182866864
43,45.77,7.29,0.26,0.5,0.0007,3.5,1.0,10.0,25.0,0.00663685762173275
44,45.77,7.29,0.26,0.5,0.0007,3.5,1.0,10.0,50.0,0.005929197489609283
45,45.77,7.29,0.26,0.5,0.0007,3.5,1.0,60.0,0.0,0.007898455009948556
46,45.77,7.29,0.26,0.5,0.0007,3.5,1.0,60.0,25.0,0.007014276853412881
47,45.77,7.29,0.26,0.5,0.0007,3.5,1.0,60.0,50.0,0.006404418421618437
48,45.77,7.29,0.26,0.5,0.0007,3.5,5.0,10.0,0.0,0.03942474034344067
49,45.77,7.29,0.26,0.5,0.0007,3.5,5.0,10.0,25.0,0.019595148338393344
50,30.928,7.955,0.42,0.5,0.006,14.0,5.5883,60,25,0.11298963820709329
