Temperature(C)	Doping(%)	Time	Wavelength
0	10	1h	509.0000
50	10	1h	509.0000
25	1	10m	511.0000
25	5	1h	510.0000
0	5	10m	511.0000
50	5	10m	510.0000
25	1	1h	511.0000
25	10	10m	509.0000
25	10	3h	510.0000
25	3	1h	510.0000
25	3	10m	509.0000
50	5	1h	510.0000
0	5	1h	510.0000
50	1	10m	511.0000
0	1	10m	511.0000
25	10	1h	509.0000
50	10	10m	509.0000
25	1	3h	510.0000
25	3	3h	509.0000
0	3	1h	509.0000
50	3	1h	510.0000
25	5	10m	511.0000
50	3	10m	509.0000
0	3	10m	509.0000
50	1	1h	511.0000
0	1	1h	511.0000
25	5	3h	510.0000
0	10	10m	509.0000
0	10	10m	509.0000
